Transaction_ID,Date,Time,Amount,Description,Merchant,Category
TX0037,8/9/2024,20:15:00,124.99,Internet bill,Mobile Carrier,Bills
TX0038,10/20/2024,20:41:00,51.91,Movie tickets,AMC Theatres,Entertainment
TX0039,1/17/2025,18:37:00,24.82,Dinner at restaurant,McDonalds,Food & Beverage
TX0040,9/5/2024,18:51:00,360.81,Pharmacy purchase,Walgreens,Healthcare
TX0041,8/19/2024,18:14:00,122.79,Electricity bill,Mobile Carrier,Bills
TX0042,7/23/2024,22:29:00,29.05,Taxi service,Local Transit,Transportation
TX0043,11/19/2024,18:36:00,117.31,Bulk food items,Costco,Groceries
TX0044,6/14/2024,15:21:00,22.37,Lunch meal,Dunkin,Food & Beverage
TX0045,7/22/2024,12:12:00,27.21,Bus ticket,Uber,Transportation
TX0046,7/12/2024,18:20:00,205.5,Health supplement,Local Clinic,Healthcare
TX0047,9/17/2024,20:59:00,170.44,Monthly bill payment,Internet Provider,Bills
TX0048,4/17/2024,20:26:00,302.71,Health supplement,CVS Pharmacy,Healthcare
TX0049,5/16/2024,18:22:00,22.35,Lunch meal,Starbucks,Food & Beverage
TX0050,5/24/2024,20:33:00,52.5,Concert tickets,AMC Theatres,Entertainment
TX0051,9/18/2024,12:57:00,285.7,Internet bill,Mobile Carrier,Bills
TX0052,9/30/2024,18:40:00,90.82,Electricity bill,Mobile Carrier,Bills
TX0053,5/5/2024,22:55:00,223.69,Bulk food items,Target,Groceries
TX0054,10/28/2024,18:14:00,257.1,Internet bill,Mobile Carrier,Bills
TX0055,6/29/2024,12:48:00,490.39,Pharmacy purchase,Walgreens,Healthcare
TX0056,11/5/2024,8:57:00,40.42,Movie tickets,Netflix,Entertainment
TX0057,6/15/2024,20:41:00,15.91,Dinner at restaurant,Dunkin,Food & Beverage
TX0058,8/31/2024,12:15:00,13.98,Taxi service,Uber,Transportation
TX0059,4/19/2024,12:30:00,55.83,Monthly bill payment,Mobile Carrier,Bills
TX0060,1/23/2025,15:14:00,343.61,Pharmacy purchase,Local Clinic,Healthcare
TX0061,12/20/2024,12:24:00,17.52,Dinner at restaurant,Dunkin,Food & Beverage
TX0062,1/16/2025,18:50:00,50.76,Bulk food items,Target,Groceries
TX0063,3/19/2025,20:40:00,180.34,Supermarket shopping,Target,Groceries
TX0064,1/27/2025,20:34:00,10.2,Coffee purchase,Starbucks,Food & Beverage
TX0065,12/27/2024,22:54:00,366.22,Health supplement,Walgreens,Healthcare
TX0066,4/6/2024,22:04:00,19.73,Concert tickets,AMC Theatres,Entertainment
TX0067,10/21/2024,20:59:00,7.56,Lunch meal,McDonalds,Food & Beverage
TX0068,8/12/2024,18:51:00,235.38,Monthly bill payment,Local Utility,Bills
TX0069,6/15/2024,22:50:00,98.47,Internet bill,Internet Provider,Bills
TX0070,7/1/2024,12:57:00,25.57,Coffee purchase,McDonalds,Food & Beverage
TX0071,3/20/2025,15:01:00,70.63,Movie tickets,Spotify,Entertainment
TX0072,2/14/2025,20:33:00,98.87,Doctor appointment fee,Walgreens,Healthcare
TX0073,7/3/2024,12:22:00,19.45,Ride fare,Local Transit,Transportation
TX0074,3/8/2025,20:57:00,40.62,Streaming subscription,AMC Theatres,Entertainment
TX0075,2/5/2025,20:11:00,78.46,Health supplement,Local Clinic,Healthcare
TX0076,9/29/2024,20:50:00,85.95,Streaming subscription,AMC Theatres,Entertainment
TX0077,1/24/2025,12:40:00,155.22,Grocery store purchase,Costco,Groceries
TX0078,6/21/2024,18:07:00,38.74,Bus ticket,Local Transit,Transportation
TX0079,9/21/2024,22:14:00,44.88,Bus ticket,Lyft,Transportation
TX0080,9/18/2024,18:19:00,29.48,Coffee purchase,Subway,Food & Beverage
TX0081,7/5/2024,20:33:00,134.21,Electricity bill,Mobile Carrier,Bills
TX0082,1/31/2025,8:02:00,1367.85,Doctor appointment fee,Walgreens,Healthcare
TX0083,5/17/2024,20:39:00,21.75,Lunch meal,Subway,Food & Beverage
TX0084,10/19/2024,22:50:00,28.63,Dinner at restaurant,Subway,Food & Beverage
TX0085,7/3/2024,12:49:00,377.21,Health supplement,Walgreens,Healthcare
TX0086,2/8/2025,15:02:00,24.6,Coffee purchase,Dunkin,Food & Beverage
TX0087,11/17/2024,15:58:00,48.66,Ride fare,Lyft,Transportation
TX0088,2/3/2025,20:18:00,24.12,Coffee purchase,Starbucks,Food & Beverage
TX0089,3/24/2025,18:13:00,150.35,Internet bill,Local Utility,Bills
TX0090,1/2/2025,15:42:00,94.05,Pharmacy purchase,CVS Pharmacy,Healthcare
TX0091,2/12/2025,18:17:00,20.31,Taxi service,Uber,Transportation
TX0092,8/19/2024,18:39:00,31.93,Streaming subscription,AMC Theatres,Entertainment
TX0093,6/25/2024,18:04:00,82.14,Doctor appointment fee,Walgreens,Healthcare
TX0094,11/5/2024,8:28:00,11.41,Ride fare,Lyft,Transportation
TX0095,2/5/2025,18:47:00,8.23,Lunch meal,Dunkin,Food & Beverage
TX0096,5/15/2024,18:43:00,104.49,Electricity bill,Local Utility,Bills
TX0097,1/10/2025,15:52:00,12.08,Ride fare,Uber,Transportation
TX0098,10/15/2024,8:36:00,329.07,Doctor appointment fee,Walgreens,Healthcare
TX0099,3/30/2025,20:39:00,55.29,Streaming subscription,Spotify,Entertainment
TX0100,3/29/2024,20:07:00,116.43,Bulk food items,Costco,Groceries
TX0101,12/6/2024,18:03:00,119.45,Doctor appointment fee,CVS Pharmacy,Healthcare
TX0102,9/19/2024,12:23:00,37.38,Concert tickets,Spotify,Entertainment
TX0103,2/7/2025,18:07:00,30.61,Bulk food items,Costco,Groceries
TX0104,12/7/2024,22:42:00,24.91,Dinner at restaurant,Subway,Food & Beverage
TX0105,12/1/2024,18:11:00,222.6,Monthly bill payment,Mobile Carrier,Bills
TX0106,1/21/2025,15:35:00,43.55,Bulk food items,Walmart,Groceries
TX0107,10/10/2024,18:09:00,467.83,Health supplement,Local Clinic,Healthcare
TX0108,4/12/2024,12:58:00,28.23,Streaming subscription,Spotify,Entertainment
TX0109,7/13/2024,12:16:00,16.35,Ride fare,Uber,Transportation
TX0110,7/17/2024,18:17:00,31.16,Bus ticket,Lyft,Transportation
TX0111,12/3/2024,18:07:00,104.61,Lunch meal,Starbucks,Food & Beverage
TX0112,6/24/2024,20:28:00,158.1,Bulk food items,Target,Groceries
TX0113,3/18/2025,15:57:00,56.98,Movie tickets,Netflix,Entertainment
TX0114,9/16/2024,20:53:00,161.25,Bulk food items,Costco,Groceries
TX0115,4/4/2024,20:14:00,273.5,Health supplement,Local Clinic,Healthcare
TX0116,2/10/2025,20:14:00,14.85,Lunch meal,Dunkin,Food & Beverage
TX0117,6/27/2024,22:48:00,81.18,Concert tickets,AMC Theatres,Entertainment
TX0118,4/12/2024,18:19:00,22.61,Ride fare,Local Transit,Transportation
TX0119,7/31/2024,20:44:00,15.32,Lunch meal,McDonalds,Food & Beverage
TX0120,11/4/2024,15:02:00,186.28,Supermarket shopping,Walmart,Groceries
TX0121,5/11/2024,20:30:00,40.05,Ride fare,Local Transit,Transportation
TX0122,7/26/2024,12:06:00,24.29,Bus ticket,Lyft,Transportation
TX0123,3/22/2025,20:51:00,135.64,Internet bill,Mobile Carrier,Bills
TX0124,9/13/2024,22:54:00,114.09,Grocery store purchase,Walmart,Groceries
TX0125,4/27/2024,20:52:00,29.56,Lunch meal,Subway,Food & Beverage
TX0126,11/24/2024,15:47:00,61.23,Pharmacy purchase,Walgreens,Healthcare
TX0127,4/1/2024,20:19:00,14.39,Bus ticket,Uber,Transportation
TX0128,7/25/2024,18:44:00,251.81,Internet bill,Internet Provider,Bills
TX0129,3/11/2025,15:33:00,237.3,Internet bill,Mobile Carrier,Bills
TX0130,6/9/2024,18:43:00,373.24,Internet bill,Internet Provider,Bills
TX0131,12/28/2024,20:54:00,163.91,Electricity bill,Local Utility,Bills
TX0132,5/15/2024,15:39:00,49.34,Movie tickets,Netflix,Entertainment
TX0133,2/3/2025,18:47:00,272.25,Electricity bill,Local Utility,Bills
TX0134,3/6/2025,20:15:00,199.9,Health supplement,CVS Pharmacy,Healthcare
TX0135,10/31/2024,20:07:00,21.34,Ride fare,Lyft,Transportation
TX0136,2/4/2025,12:31:00,124.94,Supermarket shopping,Target,Groceries
TX0137,4/3/2024,20:17:00,82.74,Supermarket shopping,Target,Groceries
TX0138,9/17/2024,12:53:00,78.09,Monthly bill payment,Local Utility,Bills
TX0139,7/9/2024,12:04:00,184.59,Bulk food items,Costco,Groceries
TX0140,7/8/2024,15:03:00,90.57,Supermarket shopping,Target,Groceries
TX0141,3/21/2025,20:46:00,19.63,Coffee purchase,Starbucks,Food & Beverage
TX0142,9/26/2024,18:59:00,479.64,Doctor appointment fee,Walgreens,Healthcare
TX0143,1/29/2025,22:33:00,49.44,Bus ticket,Local Transit,Transportation
TX0144,6/12/2024,15:41:00,46.23,Grocery store purchase,Target,Groceries
TX0145,4/8/2024,20:40:00,178.92,Supermarket shopping,Costco,Groceries
TX0146,4/3/2024,20:01:00,7.13,Dinner at restaurant,Starbucks,Food & Beverage
TX0147,12/30/2024,22:26:00,170.85,Bulk food items,Costco,Groceries
TX0148,12/25/2024,20:18:00,7.83,Coffee purchase,McDonalds,Food & Beverage
TX0149,5/23/2024,15:55:00,11.95,Dinner at restaurant,Subway,Food & Beverage
TX0150,9/9/2024,18:44:00,23.73,Streaming subscription,Spotify,Entertainment
TX0151,7/1/2024,22:24:00,157.74,Electricity bill,Mobile Carrier,Bills
TX0152,4/23/2024,22:56:00,155.03,Supermarket shopping,Costco,Groceries
TX0153,10/28/2024,12:42:00,78.55,Streaming subscription,Netflix,Entertainment
TX0154,5/9/2024,15:47:00,445.05,Doctor appointment fee,Local Clinic,Healthcare
TX0155,9/29/2024,22:37:00,105.1,Streaming subscription,AMC Theatres,Entertainment
TX0156,3/31/2024,15:01:00,49.6,Ride fare,Uber,Transportation
TX0157,7/5/2024,22:25:00,42.64,Ride fare,Local Transit,Transportation
TX0158,8/26/2024,12:46:00,11.45,Movie tickets,Spotify,Entertainment
TX0159,11/27/2024,18:42:00,34.92,Taxi service,Local Transit,Transportation
TX0160,10/29/2024,12:30:00,75.76,Streaming subscription,AMC Theatres,Entertainment
TX0161,2/27/2025,8:02:00,78.81,Movie tickets,Spotify,Entertainment
TX0162,12/1/2024,22:01:00,65.58,Concert tickets,Netflix,Entertainment
TX0163,12/2/2024,18:58:00,478.51,Health supplement,Local Clinic,Healthcare
TX0164,9/4/2024,20:18:00,42.59,Bus ticket,Lyft,Transportation
TX0165,1/24/2025,18:35:00,103.53,Bulk food items,Target,Groceries
TX0166,6/20/2024,20:44:00,24.85,Ride fare,Lyft,Transportation
TX0167,12/28/2024,8:23:00,130.94,Internet bill,Mobile Carrier,Bills
TX0168,1/6/2025,12:53:00,29.91,Dinner at restaurant,Dunkin,Food & Beverage
TX0169,3/10/2025,18:30:00,380.67,Health supplement,CVS Pharmacy,Healthcare
TX0170,1/13/2025,18:57:00,8.73,Taxi service,Uber,Transportation
TX0171,1/22/2025,8:33:00,370.46,Doctor appointment fee,CVS Pharmacy,Healthcare
TX0172,9/25/2024,20:58:00,187.85,Grocery store purchase,Walmart,Groceries
TX0173,1/8/2025,15:06:00,20.74,Ride fare,Local Transit,Transportation
TX0174,8/23/2024,18:25:00,463.7,Doctor appointment fee,CVS Pharmacy,Healthcare
TX0175,7/28/2024,12:13:00,57.43,Bulk food items,Costco,Groceries
TX0176,2/26/2025,15:29:00,243.49,Health supplement,CVS Pharmacy,Healthcare
TX0177,2/25/2025,22:51:00,17.27,Ride fare,Lyft,Transportation
TX0178,2/11/2025,20:29:00,50.99,Monthly bill payment,Mobile Carrier,Bills
TX0179,1/15/2025,18:43:00,39.77,Bus ticket,Lyft,Transportation
TX0180,4/10/2024,20:26:00,163.61,Grocery store purchase,Costco,Groceries
TX0181,9/24/2024,20:52:00,28.24,Taxi service,Uber,Transportation
TX0182,7/25/2024,18:49:00,138.54,Internet bill,Internet Provider,Bills
TX0183,7/3/2024,18:09:00,16.41,Taxi service,Lyft,Transportation
TX0184,5/18/2024,12:23:00,63.98,Bus ticket,Lyft,Transportation
TX0185,9/1/2024,12:26:00,84.3,Movie tickets,Netflix,Entertainment
TX0186,11/22/2024,12:11:00,149.4,Supermarket shopping,Walmart,Groceries
TX0187,1/24/2025,12:02:00,12.54,Taxi service,Uber,Transportation
TX0188,11/4/2024,20:07:00,10.42,Lunch meal,McDonalds,Food & Beverage
TX0189,7/18/2024,20:58:00,604.5,Monthly bill payment,Internet Provider,Bills
TX0190,6/28/2024,15:06:00,204.58,Health supplement,Walgreens,Healthcare
TX0191,3/15/2025,18:40:00,314.7,Health supplement,CVS Pharmacy,Healthcare
TX0192,7/21/2024,18:44:00,318.54,Monthly bill payment,Local Utility,Bills
TX0193,1/14/2025,20:43:00,18.1,Coffee purchase,Dunkin,Food & Beverage
TX0194,1/29/2025,20:14:00,49.59,Bus ticket,Uber,Transportation
TX0195,7/13/2024,18:09:00,51.96,Bus ticket,Uber,Transportation
TX0196,2/27/2025,15:29:00,53.42,Internet bill,Local Utility,Bills
TX0197,6/25/2024,22:14:00,11.05,Dinner at restaurant,Dunkin,Food & Beverage
TX0198,3/29/2025,20:14:00,27.26,Ride fare,Lyft,Transportation
TX0199,3/7/2025,20:13:00,73.24,Monthly bill payment,Local Utility,Bills
TX0200,9/24/2024,20:55:00,177.86,Internet bill,Mobile Carrier,Bills
TX0201,11/24/2024,12:10:00,32.06,Bus ticket,Lyft,Transportation
TX0202,12/11/2024,20:59:00,429.5,Health supplement,Local Clinic,Healthcare
TX0203,6/6/2024,20:43:00,75.72,Health supplement,CVS Pharmacy,Healthcare
TX0204,10/28/2024,8:03:00,135.28,Internet bill,Mobile Carrier,Bills
TX0205,4/20/2024,20:25:00,13.37,Bus ticket,Uber,Transportation
TX0206,5/29/2024,20:06:00,123.97,Bulk food items,Walmart,Groceries
TX0207,2/26/2025,20:37:00,10.69,Dinner at restaurant,Subway,Food & Beverage
TX0208,5/1/2024,18:52:00,152.92,Pharmacy purchase,Local Clinic,Healthcare
TX0209,11/22/2024,8:22:00,71.72,Internet bill,Mobile Carrier,Bills
TX0210,10/9/2024,15:32:00,54.2,Internet bill,Local Utility,Bills
TX0211,4/6/2024,8:38:00,127.93,Internet bill,Internet Provider,Bills
TX0212,12/31/2024,15:10:00,6.46,Dinner at restaurant,Dunkin,Food & Beverage
TX0213,5/6/2024,20:28:00,13.8,Dinner at restaurant,Subway,Food & Beverage
TX0214,6/20/2024,18:35:00,34.69,Bus ticket,Uber,Transportation
TX0215,10/20/2024,12:14:00,41.55,Taxi service,Uber,Transportation
TX0216,4/29/2024,12:02:00,51.58,Monthly bill payment,Internet Provider,Bills
TX0217,8/3/2024,18:26:00,148.62,Supermarket shopping,Target,Groceries
TX0218,1/1/2025,15:02:00,411.43,Health supplement,Walgreens,Healthcare
TX0219,10/19/2024,22:31:00,12.72,Lunch meal,Dunkin,Food & Beverage
TX0220,1/17/2025,12:44:00,66.49,Concert tickets,AMC Theatres,Entertainment
TX0221,8/7/2024,20:58:00,67.7,Movie tickets,Netflix,Entertainment
TX0222,6/10/2024,20:02:00,432.35,Health supplement,Local Clinic,Healthcare
TX0223,2/20/2025,18:22:00,296.46,Electricity bill,Local Utility,Bills
TX0224,2/1/2025,18:15:00,188.96,Supermarket shopping,Target,Groceries
TX0225,4/8/2024,15:48:00,189.09,Bulk food items,Target,Groceries
TX0226,4/2/2024,12:15:00,399.74,Health supplement,Walgreens,Healthcare
TX0227,4/13/2024,15:26:00,197.13,Internet bill,Internet Provider,Bills
TX0228,7/26/2024,20:08:00,6.31,Lunch meal,Starbucks,Food & Beverage
TX0229,11/19/2024,12:58:00,57.58,Doctor appointment fee,CVS Pharmacy,Healthcare
TX0230,3/26/2025,12:53:00,99.24,Monthly bill payment,Mobile Carrier,Bills
TX0231,2/15/2025,12:03:00,32.25,Coffee purchase,Subway,Food & Beverage
TX0232,8/9/2024,22:18:00,16.82,Coffee purchase,McDonalds,Food & Beverage
TX0233,3/14/2025,18:29:00,379.85,Doctor appointment fee,Local Clinic,Healthcare
TX0234,4/30/2024,18:24:00,149.69,Internet bill,Mobile Carrier,Bills
TX0235,5/30/2024,20:48:00,34.02,Taxi service,Local Transit,Transportation
TX0236,12/10/2024,18:08:00,55.96,Streaming subscription,Spotify,Entertainment
TX0237,11/5/2024,20:23:00,192.03,Monthly bill payment,Local Utility,Bills
TX0238,2/8/2025,15:55:00,50.48,Streaming subscription,AMC Theatres,Entertainment
TX0239,7/26/2024,12:29:00,28.22,Lunch meal,Dunkin,Food & Beverage
TX0240,5/30/2024,20:14:00,136.1,Health supplement,Local Clinic,Healthcare
TX0241,8/15/2024,12:28:00,445.5,Doctor appointment fee,Walgreens,Healthcare
TX0242,5/18/2024,15:07:00,170.85,Monthly bill payment,Mobile Carrier,Bills
TX0243,2/7/2025,15:11:00,42.07,Streaming subscription,Spotify,Entertainment
TX0244,3/27/2025,8:31:00,81.14,Bulk food items,Walmart,Groceries
TX0245,3/20/2025,18:11:00,29.63,Taxi service,Uber,Transportation
TX0246,6/7/2024,20:57:00,112.78,Health supplement,Walgreens,Healthcare
TX0247,2/13/2025,12:02:00,294.81,Doctor appointment fee,Local Clinic,Healthcare
TX0248,5/7/2024,22:46:00,13.66,Lunch meal,Starbucks,Food & Beverage
TX0249,5/9/2024,20:30:00,157.67,Bulk food items,Target,Groceries
TX0250,10/15/2024,8:27:00,1121.79,Electricity bill,Internet Provider,Bills
TX0251,10/29/2024,20:40:00,8.55,Coffee purchase,McDonalds,Food & Beverage
TX0252,1/26/2025,22:20:00,26.72,Bulk food items,Walmart,Groceries
TX0253,6/12/2024,12:26:00,41.38,Supermarket shopping,Target,Groceries
TX0254,2/22/2025,20:30:00,96.61,Grocery store purchase,Target,Groceries
TX0255,11/30/2024,20:43:00,113.14,Supermarket shopping,Costco,Groceries
TX0256,3/21/2025,18:39:00,133.97,Supermarket shopping,Walmart,Groceries
TX0257,9/17/2024,8:43:00,146.34,Bulk food items,Costco,Groceries
TX0258,6/27/2024,18:57:00,50.47,Dinner at restaurant,Starbucks,Food & Beverage
TX0259,2/16/2025,22:11:00,138.38,Electricity bill,Internet Provider,Bills
TX0260,3/20/2025,8:52:00,38.02,Movie tickets,Spotify,Entertainment
TX0261,11/23/2024,8:07:00,25.53,Dinner at restaurant,Starbucks,Food & Beverage
TX0262,1/12/2025,20:39:00,65.85,Taxi service,Uber,Transportation
TX0263,9/7/2024,20:12:00,140.52,Streaming subscription,Netflix,Entertainment
TX0264,2/27/2025,8:25:00,47,Supermarket shopping,Costco,Groceries
TX0265,5/22/2024,20:57:00,43.17,Concert tickets,Netflix,Entertainment
TX0266,10/22/2024,8:38:00,267.79,Internet bill,Local Utility,Bills
TX0267,4/16/2024,20:59:00,21.05,Dinner at restaurant,McDonalds,Food & Beverage
TX0268,11/3/2024,20:29:00,45.04,Streaming subscription,AMC Theatres,Entertainment
TX0269,8/7/2024,12:32:00,179.98,Electricity bill,Internet Provider,Bills
TX0270,8/26/2024,8:48:00,191.74,Supermarket shopping,Walmart,Groceries
TX0271,9/11/2024,22:40:00,159.58,Pharmacy purchase,Walgreens,Healthcare
TX0272,1/22/2025,20:04:00,94.94,Grocery store purchase,Walmart,Groceries
TX0273,9/19/2024,18:06:00,94.58,Movie tickets,AMC Theatres,Entertainment
TX0274,3/10/2025,20:02:00,275.9,Internet bill,Internet Provider,Bills
TX0275,12/19/2024,18:36:00,113.72,Internet bill,Mobile Carrier,Bills
TX0276,5/18/2024,20:33:00,30.71,Lunch meal,Starbucks,Food & Beverage
TX0277,2/9/2025,15:39:00,49.05,Taxi service,Lyft,Transportation
TX0278,12/12/2024,20:16:00,233.93,Doctor appointment fee,CVS Pharmacy,Healthcare
TX0279,2/23/2025,20:50:00,24.69,Movie tickets,Netflix,Entertainment
TX0280,1/8/2025,15:27:00,45.9,Bulk food items,Walmart,Groceries
TX0281,4/12/2024,18:13:00,95.84,Streaming subscription,Spotify,Entertainment
TX0282,12/2/2024,18:04:00,140.97,Supermarket shopping,Walmart,Groceries
TX0283,5/24/2024,12:44:00,10.34,Coffee purchase,Dunkin,Food & Beverage
TX0284,7/12/2024,20:37:00,8.01,Coffee purchase,Subway,Food & Beverage
TX0285,4/19/2024,18:21:00,243.84,Electricity bill,Local Utility,Bills
TX0286,9/27/2024,18:26:00,8.56,Lunch meal,Dunkin,Food & Beverage
TX0287,11/19/2024,20:26:00,160.24,Supermarket shopping,Walmart,Groceries
TX0288,3/24/2025,18:55:00,88.7,Grocery store purchase,Target,Groceries
TX0289,4/2/2024,20:45:00,28.58,Lunch meal,McDonalds,Food & Beverage
TX0290,9/20/2024,18:45:00,49.93,Taxi service,Lyft,Transportation
TX0291,4/3/2024,20:26:00,442.52,Doctor appointment fee,CVS Pharmacy,Healthcare
TX0292,7/14/2024,18:05:00,123.63,Electricity bill,Local Utility,Bills
TX0293,4/6/2024,8:32:00,68.08,Taxi service,Lyft,Transportation
TX0294,7/16/2024,20:36:00,24.72,Taxi service,Local Transit,Transportation
TX0295,11/28/2024,18:54:00,87.74,Bulk food items,Walmart,Groceries
TX0296,10/5/2024,15:07:00,69.76,Taxi service,Lyft,Transportation
TX0297,6/1/2024,18:58:00,136.07,Grocery store purchase,Target,Groceries
TX0298,6/29/2024,18:33:00,82.98,Supermarket shopping,Walmart,Groceries
TX0299,5/13/2024,22:34:00,192.94,Health supplement,CVS Pharmacy,Healthcare
TX0300,5/4/2024,22:24:00,405.75,Monthly bill payment,Mobile Carrier,Bills
TX0301,2/11/2025,12:37:00,120.18,Supermarket shopping,Target,Groceries
TX0302,1/14/2025,18:25:00,98.88,Movie tickets,Netflix,Entertainment
TX0303,7/11/2024,8:43:00,179.26,Supermarket shopping,Target,Groceries
TX0304,1/11/2025,15:48:00,400.86,Health supplement,CVS Pharmacy,Healthcare
TX0305,10/16/2024,20:18:00,45.57,Taxi service,Local Transit,Transportation
TX0306,1/18/2025,18:22:00,65.01,Streaming subscription,Netflix,Entertainment
TX0307,3/12/2025,22:05:00,86.22,Movie tickets,Netflix,Entertainment
TX0308,5/28/2024,20:31:00,29.36,Ride fare,Uber,Transportation
TX0309,3/14/2025,18:47:00,101.36,Internet bill,Internet Provider,Bills
TX0310,6/12/2024,12:37:00,126.5,Bulk food items,Target,Groceries
TX0311,9/19/2024,18:38:00,7.09,Bus ticket,Local Transit,Transportation
TX0312,3/21/2025,18:17:00,37.52,Movie tickets,Spotify,Entertainment
TX0313,6/30/2024,12:02:00,410.83,Electricity bill,Local Utility,Bills
TX0314,2/15/2025,22:52:00,37.64,Bus ticket,Uber,Transportation
TX0315,12/26/2024,22:01:00,7.2,Ride fare,Local Transit,Transportation
TX0316,8/15/2024,22:20:00,466.2,Health supplement,CVS Pharmacy,Healthcare
TX0317,2/1/2025,8:21:00,15.47,Concert tickets,Spotify,Entertainment
TX0318,9/2/2024,8:12:00,14.5,Ride fare,Lyft,Transportation
TX0319,2/11/2025,18:14:00,48.25,Movie tickets,Spotify,Entertainment
TX0320,1/8/2025,8:51:00,151.47,Internet bill,Mobile Carrier,Bills
TX0321,5/6/2024,15:02:00,54.37,Streaming subscription,AMC Theatres,Entertainment
TX0322,6/12/2024,18:25:00,50.42,Concert tickets,Netflix,Entertainment
TX0323,4/12/2024,12:14:00,98.53,Electricity bill,Mobile Carrier,Bills
TX0324,1/11/2025,22:51:00,27.51,Lunch meal,McDonalds,Food & Beverage
TX0325,9/27/2024,18:24:00,236.26,Doctor appointment fee,Walgreens,Healthcare
TX0326,11/25/2024,20:02:00,262.66,Monthly bill payment,Mobile Carrier,Bills
TX0327,7/29/2024,12:59:00,19.22,Dinner at restaurant,McDonalds,Food & Beverage
TX0328,4/14/2024,15:21:00,118.39,Monthly bill payment,Internet Provider,Bills
TX0329,3/10/2025,15:28:00,98.96,Concert tickets,Spotify,Entertainment
TX0330,8/1/2024,22:26:00,133.59,Electricity bill,Internet Provider,Bills
TX0331,10/24/2024,22:31:00,18.81,Ride fare,Lyft,Transportation
TX0332,5/16/2024,18:23:00,52.2,Supermarket shopping,Walmart,Groceries
TX0333,6/15/2024,22:33:00,130.7,Supermarket shopping,Walmart,Groceries
TX0334,3/5/2025,18:29:00,155.4,Monthly bill payment,Local Utility,Bills
TX0335,6/8/2024,20:27:00,26.41,Bus ticket,Uber,Transportation
TX0336,1/22/2025,20:10:00,99.06,Movie tickets,Spotify,Entertainment
TX0337,7/14/2024,12:52:00,15.58,Taxi service,Local Transit,Transportation
TX0338,9/8/2024,20:11:00,90.15,Concert tickets,Spotify,Entertainment
TX0339,12/22/2024,20:28:00,9.76,Ride fare,Local Transit,Transportation
